id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
1,TCKT-1001,Medium,Resolved,Hardware,Software installation issue,Automatically generated sample ticket record,2024-07-14,2024-07-19,Ethan,2024-07-14 00:00:00
2,TCKT-1002,Medium,Closed,Network,System running slow,Automatically generated sample ticket record,2024-01-04,2024-01-10,Ethan,2024-01-04 00:00:00
3,TCKT-1003,Critical,In Progress,Software,Cannot connect to WiFi,Automatically generated sample ticket record,2024-03-18,,Bob,2024-03-18 00:00:00
4,TCKT-1004,Critical,Resolved,Hardware,Access denied error,Automatically generated sample ticket record,2024-02-14,2024-02-18,Bob,2024-02-14 00:00:00
5,TCKT-1005,Critical,Open,Security,System running slow,Automatically generated sample ticket record,2024-02-14,,Bob,2024-02-14 00:00:00
6,TCKT-1006,High,Resolved,Access,Access denied error,Automatically generated sample ticket record,2024-06-17,2024-06-24,Alice,2024-06-17 00:00:00
7,TCKT-1007,High,In Progress,Software,Printer not working,Automatically generated sample ticket record,2024-07-07,,Charlie,2024-07-07 00:00:00
8,TCKT-1008,Low,In Progress,Network,Password reset request,Automatically generated sample ticket record,2024-01-09,,Ethan,2024-01-09 00:00:00
9,TCKT-1009,Low,Resolved,Access,Password reset request,Automatically generated sample ticket record,2024-04-28,2024-05-07,Ethan,2024-04-28 00:00:00
10,TCKT-1010,Critical,Resolved,Security,Software installation issue,Automatically generated sample ticket record,2024-09-01,2024-09-03,Fatima,2024-09-01 00:00:00
11,TCKT-1011,Low,In Progress,Security,Antivirus alert,Automatically generated sample ticket record,2024-03-19,,Fatima,2024-03-19 00:00:00
12,TCKT-1012,Low,In Progress,Access,VPN connection problem,Automatically generated sample ticket record,2024-01-20,,Bob,2024-01-20 00:00:00
13,TCKT-1013,High,Resolved,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-05-29,2024-06-05,Fatima,2024-05-29 00:00:00
14,TCKT-1014,Low,In Progress,Security,System running slow,Automatically generated sample ticket record,2024-02-24,,Fatima,2024-02-24 00:00:00
15,TCKT-1015,Critical,Open,Software,Access denied error,Automatically generated sample ticket record,2024-09-02,,Hassan,2024-09-02 00:00:00
16,TCKT-1016,Medium,Resolved,Hardware,Password reset request,Automatically generated sample ticket record,2024-06-16,2024-06-21,Charlie,2024-06-16 00:00:00
17,TCKT-1017,Low,Closed,Network,Email not syncing,Automatically generated sample ticket record,2024-01-29,2024-01-31,Alice,2024-01-29 00:00:00
18,TCKT-1018,Critical,Open,Network,Antivirus alert,Automatically generated sample ticket record,2024-01-09,,Bob,2024-01-09 00:00:00
19,TCKT-1019,High,Closed,Access,Software installation issue,Automatically generated sample ticket record,2024-03-31,2024-04-01,Ethan,2024-03-31 00:00:00
20,TCKT-1020,High,Resolved,Hardware,Software installation issue,Automatically generated sample ticket record,2024-09-16,2024-09-17,Ethan,2024-09-16 00:00:00
21,TCKT-1021,High,In Progress,Hardware,System running slow,Automatically generated sample ticket record,2024-09-24,,Charlie,2024-09-24 00:00:00
22,TCKT-1022,Low,Closed,Network,Password reset request,Automatically generated sample ticket record,2024-04-15,2024-04-22,Ethan,2024-04-15 00:00:00
23,TCKT-1023,Medium,In Progress,Software,Laptop not starting,Automatically generated sample ticket record,2024-03-25,,Fatima,2024-03-25 00:00:00
24,TCKT-1024,Low,Open,Security,Password reset request,Automatically generated sample ticket record,2024-01-01,,Alice,2024-01-01 00:00:00
25,TCKT-1025,Critical,Open,Access,Password reset request,Automatically generated sample ticket record,2024-02-23,,Hassan,2024-02-23 00:00:00
26,TCKT-1026,Low,Open,Network,Antivirus alert,Automatically generated sample ticket record,2024-06-25,,Hassan,2024-06-25 00:00:00
27,TCKT-1027,Low,Closed,Access,Software installation issue,Automatically generated sample ticket record,2024-03-28,2024-04-06,Alice,2024-03-28 00:00:00
28,TCKT-1028,Critical,In Progress,Access,Access denied error,Automatically generated sample ticket record,2024-09-14,,Bob,2024-09-14 00:00:00
29,TCKT-1029,High,Open,Hardware,System running slow,Automatically generated sample ticket record,2024-08-24,,David,2024-08-24 00:00:00
30,TCKT-1030,Critical,Resolved,Software,Antivirus alert,Automatically generated sample ticket record,2024-10-06,2024-10-12,Bob,2024-10-06 00:00:00
31,TCKT-1031,Medium,Resolved,Access,Laptop not starting,Automatically generated sample ticket record,2024-02-09,2024-02-19,Charlie,2024-02-09 00:00:00
32,TCKT-1032,Low,Resolved,Hardware,System running slow,Automatically generated sample ticket record,2024-09-08,2024-09-14,Charlie,2024-09-08 00:00:00
33,TCKT-1033,Low,In Progress,Security,Access denied error,Automatically generated sample ticket record,2024-03-18,,Fatima,2024-03-18 00:00:00
34,TCKT-1034,High,Open,Access,Laptop not starting,Automatically generated sample ticket record,2024-02-04,,Hassan,2024-02-04 00:00:00
35,TCKT-1035,Low,Open,Hardware,System running slow,Automatically generated sample ticket record,2024-05-08,,Alice,2024-05-08 00:00:00
36,TCKT-1036,Critical,Resolved,Access,Password reset request,Automatically generated sample ticket record,2024-03-04,2024-03-08,Ethan,2024-03-04 00:00:00
37,TCKT-1037,Medium,In Progress,Access,Access denied error,Automatically generated sample ticket record,2024-10-13,,Charlie,2024-10-13 00:00:00
38,TCKT-1038,Low,Resolved,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-09-14,2024-09-17,Bob,2024-09-14 00:00:00
39,TCKT-1039,High,Open,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-01-16,,Hassan,2024-01-16 00:00:00
40,TCKT-1040,High,Resolved,Security,Password reset request,Automatically generated sample ticket record,2024-06-16,2024-06-25,Charlie,2024-06-16 00:00:00
41,TCKT-1041,High,Resolved,Network,System running slow,Automatically generated sample ticket record,2024-05-20,2024-05-27,Hassan,2024-05-20 00:00:00
42,TCKT-1042,Low,Resolved,Hardware,Software installation issue,Automatically generated sample ticket record,2024-06-29,2024-07-06,Ethan,2024-06-29 00:00:00
43,TCKT-1043,High,In Progress,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-01-27,,Alice,2024-01-27 00:00:00
44,TCKT-1044,Medium,Open,Hardware,Access denied error,Automatically generated sample ticket record,2024-10-15,,Charlie,2024-10-15 00:00:00
45,TCKT-1045,Low,Open,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-03-18,,Alice,2024-03-18 00:00:00
